Author,givenname,givenname_reco,instance.of,Count
"Bowman, Nicholas David",Nicholas,Nicholas,male given name,1
"Cragoe, Nicholas G.",Nicholas,Nicholas,male given name,1
"St. Jacques, Nicholas",Nicholas,Nicholas,male given name,1
"Bestor, Nick",Nick,nick,male given name,1
"Webber, Nick",Nick,nick,male given name,1
"LaLone, Nicolas",Nicolas,Nicolas,male given name,2
"Nova, Nicolas",Nicolas,Nicolas,male given name,2
"Carrillo Santarelli, Nicolas",Nicolas,Nicolas,male given name,1
"Nylund, Niklas",Niklas,Niklas,male given name,1
"Bardis, Nikolaos",Nikolaos,Nikolaos,male given name,2
"Silber, Norman I.",Norman,Norman,male given name,1
"Soshenskyi, Oleksandr",Oleksandr,Oleksandr,male given name,1
"Caïra, Olivier",Olivier,Olivier,male given name,4
"Berti, Paolo",Paolo,Paolo,male given name,1
"Schmoll, Patrick",Patrick,Patrick,male given name,1
"Waeber, Patrick O.",Patrick,Patrick,male given name,1
"Mason, Paul",Paul,Paul,male given name,2
"Cardwell Jr., Paul",Paul,Paul,male given name,1
"Cardwell, Paul Jr",Paul,Paul,male given name,1
"Carolin, Paul M.",Paul,Paul,male given name,1
"Scriven, Paul",Paul,Paul,male given name,1
"Weigle, Paul",Paul,Paul,male given name,1
"Ramos-Villagrasa, Pedro José",Pedro,Pedro,male given name,1
"Clynes, Peter",Peter,Peter,male given name,1
"Kennedy, Peter Drew",Peter,Peter,male given name,1
"Kuling, Peter",Peter,Peter,male given name,1
"Rogers, Peter",Peter,Peter,male given name,1
"Stromberg, Peter G.",Peter,Peter,male given name,1
"Wonica, Peter",Peter,Peter,male given name,1
"Woods, Peter J.",Peter,Peter,male given name,1
"Bruno, Pierre",Pierre,Pierre,male given name,1
"Gander, Pierre",Pierre,Pierre,male given name,1
"Dorożyński, Przemysław",Przemysław,Przemysław,male given name,1
"Richtr, Radek",Radek,Radek,male given name,1
"Trnka, Radek",Radek,Radek,male given name,1
"Jaques, Rafael Ramires",Rafael,Rafael,male given name,1
"Lopes, Rafael Santos",Rafael,Rafael,male given name,1
"Jørnø, Rasmus Leth",Rasmus,Rasmus,male given name,1
"Keller, Reiner",Reiner,Reiner,male given name,1
"da Silva Francisco, Ricardo Jeferson",Ricardo,Ricardo,male given name,1
"Moreno Rodriguez, Ricardo",Ricardo,Ricardo,male given name,1
"Victoria-Uribe, Ricardo",Ricardo,Ricardo,male given name,1
"Montoro, Richard",Richard,Richard,male given name,1
"Prager, Richard Heinz Patrick",Richard,Richard,male given name,1
"Biskin, Robert",Robert,Robert,male given name,1
"Carter, Robert",Robert,Robert,male given name,1
"Greenspoon, Robert",Robert,Robert,male given name,1
"Lowe, Robert",Robert,Robert,male given name,1
"Moore, Robert J.",Robert,Robert,male given name,1
"Sullivan, Robert S.",Robert,Robert,male given name,1
"Baelo, Roberto",Roberto,Roberto,male given name,1
"Sorolla, Roger",Roger,Roger,male given name,1
"Sorolla, Roger SG",Roger,Roger,male given name,1
"Kapitany, Rohan",Rohan,Rohan,male given name,1
"Pascal, Roman",Roman,,male given name,2
"Abramson, Ronald",Ronald,Ronald,male given name,1
"Cruz, Ronald Allan L.",Ronald,Ronald,male given name,1
"Pekala, Ronald J.",Ronald,Ronald,male given name,1
"Hernández-Mendo, Rubén-Dario",Rubén-Dario,Rubén Darío,male given name,1
"Tobin, Samuel",Samuel,Samuel,male given name,1
"Segoni, Samuele",Samuele,Samuele,male given name,1
"Storm, Scott",Scott,Scott,male given name,2
"Beattie, Scott",Scott,Scott,male given name,1
"Dyson, Scott Benjamin",Scott,Scott,male given name,1
"Orth, Scott",Scott,Scott,male given name,1
"Whittier, Scott",Scott,Scott,male given name,1
"Lickteig, Seth J.",Seth,Seth,male given name,1
"Cuason, Sherwin U.",Sherwin,Sherwin,male given name,1
"Xiong, Shuo",Shuo,Shūo,male given name,2
"Henrich, Soren",Soren,Søren,male given name,1
"Huddleston, Stefan",Stefan,Stefan,male given name,1
"Daniau, Stéphane",Stéphane,Stephane,male given name,1
"Saint-André, Stéphane",Stéphane,Stephane,male given name,1
"Dashiell, Steven",Steven,Steven,male given name,6
"Dashiell, Steven L.",Steven,Steven,male given name,2
"Holmes, Steven",Steven,Steven,male given name,1
"Leeds, Stuart M.",Stuart,Stuart,male given name,1
"Mystakidis, Stylianos",Stylianos,Stylianos,male given name,1
"Iuama, Tadeu Rodrigues",Tadeu,Tadeu,male given name,1
"Brazil, Teófilo Otoni-MG",Teófilo,Teofilo,male given name,1
"Terashima, Teppei",Teppei,Teppei,male given name,1
"Sauerschnig, Thomas",Thomas,,male given name,1
"Alves, Tiago Firmo",Tiago,Tiago,male given name,1
"Hutchings, Tim",Tim,,male given name,1
"Lorenz, Timo",Timo,Timo,male given name,1
"Röhl, Tobias",Tobias,Tobias,male given name,1
"Fuist, Todd Nicholas",Todd,,male given name,1
"Apperley, Tom",Tom,,male given name,2
"Laer, Tom Van",Tom,,male given name,1
"Reibert, Tom",Tom,,male given name,1
"Hampejs, Tomas",Tomas,Tomas,male given name,1
"Nikolai, Tomas",Tomas,Tomas,male given name,1
"Brander, Tommi",Tommi,Tommi,male given name,2
"Harviainen, J. Tuomas",Tuomas,Tuomas,male given name,3
"Roux, Ugo",Ugo,Ugo,male given name,3
"Betz, Ulrich A. K.",Ulrich,Ulrichen,male given name,1
"Lympouridis, Vangelis",Vangelis,Vangelis,male given name,1
"Karhulahti, Veli-Matti",Veli-Matti,Veli-Matti,male given name,1
"Chang, Victor",Victor,Victor,male given name,1
"Abella-García, Víctor",Víctor,victory,male given name,1
"García, Víctor Abella",Víctor,victory,male given name,1
"Dehili, Vincent Malik",Vincent,Vincent,male given name,1
"Compadre, Vitor Hugo Moreira Lima",Vitor,Vítor,male given name,1
"Schmit, Wagner Luiz",Wagner,Wagner,male given name,2
"Effross, Walter A.",Walter,Walter,male given name,1
"Wood, Walton",Walton,Walton,male given name,1
"Blackmon, Wayne D.",Wayne,Wayne,male given name,1
"Lizé, Wenceslas",Wenceslas,Wenceslas,male given name,1
"Evans, Wesley K.",Wesley,,male given name,1
"Coussieu, Wilfried",Wilfried,Wilfried,male given name,1
"White, William J.",William,William,male given name,5
"Ford, William K.",William,William,male given name,1
"Li, William",William,William,male given name,1
"White, William J",William,William,male given name,1
"Lecocq, Xavier",Xavier,Xavier,male given name,3
"Kotera, Yasuhiro",Yasuhiro,Yasuhiro,male given name,1
"Moro, Yuji",Yuji,Yūji,male given name,1
"Harada, Yūsuke",Yūsuke,Yūsuke,male given name,1
"Huang, Zhiwei",Zhiwei,Zhiwei,male given name,1
"Подвальный, Максим А.",Максим,,male given name,1
"Xu, Ariel Qianwen",Ariel,Ariel,unisex given name,1
"Bateman, Chris",Chris,Chris,unisex given name,2
"Bailey, Chris",Chris,Chris,unisex given name,1
"Hastings, Chris",Chris,Chris,unisex given name,1
"Schneider, Chris",Chris,Chris,unisex given name,1
"Schneider, Chris Andre",Chris,Chris,unisex given name,1
"Booker, Courtney M.",Courtney,Courtney,unisex given name,1
"Van Devender, Dana",Dana,Dana,unisex given name,1
"Doty, Gene",Gene,gene,unisex given name,1
"Atherton, Gray",Gray,Gray,unisex given name,1
"Murrhee, Kara Carnley",Kara,Kara,unisex given name,1
"Jones, Karis",Karis,Kari,unisex given name,3
"Ascherman, Lee I.",Lee,Lee,unisex given name,1
"Gelfand, Lynn",Lynn,Lynn,unisex given name,1
"Brennan, Mylie",Mylie,Mylie,unisex given name,1
"Crenshaw, Nikki",Nikki,Nikki,unisex given name,1
"Blackstock, Ryan",Ryan,Ryan,unisex given name,1
"Morgan, Ryan",Ryan,Ryan,unisex given name,1
"Vu, Ryan",Ryan,Ryan,unisex given name,1
"Karbachinskiy, Sasha",Sasha,Sasha,unisex given name,1
"Kennedy, Tracy L. M.",Tracy,Tracy,unisex given name,1
"Leeson, Whitney A. M.",Whitney,Whitney,unisex given name,1
"Herrera Pintado, Álvaro",Álvaro ,Álvaro ,male given name,1
"Yusuf, Ah",Ah,,male given name,1
"Albani, Andrieli Cecatto",Andrieli,Andrieli,female given name,1
"Vozinaki, Anthi-Eirini",Anthi-Eirini,Anthi-Eirini,female given name,1
"Seki, Atsuhisa",Atsuhisa,Atsuhisa,male given name,1
"Joraboev, Bahromjon Bakhtiyor Ogli",Bahromjon,uzwiki,male given name,1
"Swallow, Bard",Bard,barding,unisex given name,1
"Soper, Barlow",Barlow,Barlow lens,male given name,1
"Kamm, Björn-Ole",Björn-Ole,Björn-Ole,male given name,1
"McManus, I. C.",I. C.,,male given name,1
"Snow, Cason",Cason,,male given name,1
"Tseng, Chien-Chih",Chien-Chih,Chien-Chih,female given name,1
"Parker, Felan",Felan,,male given name,1
"Kawitzky, Felix Rose",Felix,Felix,unisex given name,1
"Borzenkova, Gana",Gana,Gana,female given name,1
"Dias, Giorjety",Giorjety,Giorjety,female given name,1
"Gellar-Goad, Theodore Harry McMillan",Theodore,,male given name,1
"Cameron, Hamish",Hamish,,male given name,1
"Zhan, Hao",Hao,,male given name,1
"Campbell, Harrison",Harrison,Harrison,male given name,1
"Hilola Mamadiyorova, Erkiyor Kizi",Erkiyor,Erkiyor,female given name,1
"Hsiung, Hsiang-Yu",Hsiang-Yu,Hsiang-Yu,NA,1
"Chen, Hsueh-Chih",Hsueh-Chih,Hsueh-Chih,female given name,1
"Zheng, Huijuan",Huijuan,Huijuan,female given name,2
"Turner, I.",I.,I.,NA,1
"Cox, Jason",Jason,,male given name,1
"Chang, Jen-Ho",Jen-Ho,Jen-Ho,male given name,1
"Powell, Koehler",Koehler,,male given name,1
"Nashiro, Kunitaka",Kunitaka,Kunitaka,male given name,1
"Robinson, L.",L.,L.,NA,1
"Thao Doan, Le Minh",Le,,NA,1
"Tao, Lingxiao",Lingxiao,,male given name,1
"Yamamoto, Mahisa",Mahisa,,female given name,1
"Meriläinen, Mikko",Mikko,Mikko,male given name,2
"Feng, Ming",Ming,Ming,NA,1
"Steele, Morgan James",Morgan,,male given name,1
"Lund, Ole",Ole,,male given name,1
"Lankoski, Petri",Petri,,male given name,1
"Berge, PS",PS,,NA,1
"Wang, Qiyu",Qiyu,Qiyu,unisex given name,1
"Wulandari, Rachmaghita Sribhuwana",Rachmaghita,Rachmaghita,female given name,1
"Liebler, Raizel",Raizel,Raizel,female given name,1
"Patel, Ravi",Ravi,,male given name,1
"Lloren, Regie",Regie,,female given name,1
"Raghuraman, Renuka Sundaram",Renuka,,female given name,1
"Siswanto, Riky Azharyandi",Riky,,male given name,1
"Wen, Ruoyu",Ruoyu,Ruoyu,male given name,2
"Topcuoglu, Sedef",Sedef,,female given name,2
"Tilak, Shantanu",Shantanu,Shantanu,male given name,1
"Tran, Thuan",Thuan,,male given name,1
"Long, TiMar",TiMar,,male given name,1
"Chung, Tsui-shan",Tsui-shan,Tsui-shan,female given name,1
"Rachmawati, Turniningtyas Ayu",Turniningtyas,Turniningtyas,female given name,1
"Lin, Tzu-Jung",Tzu-Jung,Tzu-Jung,female given name,1
"Richard, Y.",Y.,,NA,1
"Bian, Yixin",Yixin,,female given name,1
"Chang, Yu-Lin",Yu-Lin,Yu-Lin,female given name,1
"Wen, Ziye",Ziye,,female given name,1
NA,Curtis D.,NA,male given name,NA
NA,J. Tuomas,NA,male given name,NA
NA,William J.,NA,male given name,NA
NA,Sarah Lynne,NA,male given name,NA
NA,Steven L.,NA,male given name,NA
NA,Wesley K.,NA,male given name,NA
NA,Brian David,NA,male given name,NA
NA,Walter A.,NA,male given name,NA
NA,April M.,NA,female given name,NA
NA,Kara Carnley,NA,female given name,NA
NA,Robert J.,NA,male given name,NA
NA,Paul Jr,NA,male given name,NA
NA,Wayne D.,NA,male given name,NA
NA,Gary Alan,NA,male given name,NA
NA,R. Alan,NA,male given name,NA
NA,Stuart M.,NA,male given name,NA
NA,Ulrich A. K.,NA,male given name,NA
NA,Nicholas J.,NA,male given name,NA
NA,Paul M.,NA,male given name,NA
NA,Linda Mannik,NA,female given name,NA
NA,Ricardo Jeferson,NA,male given name,NA
NA,Maria Pamela,NA,male given name,NA
NA,Renuka Sundaram,NA,female given name,NA
NA,Gary J.,NA,male given name,NA
NA,Anne Scott,NA,female given name,NA
NA,Peter G.,NA,male given name,NA
NA,Bradford H.,NA,male given name,NA
NA,B Grantham,NA,male given name,NA
NA,Anne Mette,NA,female given name,NA
NA,Aubrie S.,NA,female given name,NA
NA,Michele Valerie,NA,female given name,NA
NA,Katherine Angel,NA,female given name,NA
NA,José Roniere Morais,NA,male given name,NA
NA,Courtney M.,NA,unisex given name,NA
NA,Levi R.,NA,male given name,NA
NA,W. Keith,NA,male given name,NA
NA,Jennifer A.,NA,female given name,NA
NA,Theodore Harry McMillan,NA,male given name,NA
NA,Nicholas G.,NA,male given name,NA
NA,Lívia Mathias,NA,female given name,NA
NA,Nathaniel T.,NA,male given name,NA
NA,Bruce E.,NA,male given name,NA
NA,Iván Pérez,NA,male given name,NA
NA,Álvaro,NA,male given name,NA
NA,Juan Ramón Carbó,NA,male given name,NA
NA,Wagner Luiz,NA,male given name,NA
NA,Liane Margarida Rockenbach,NA,female given name,NA
NA,Ronald Allan L.,NA,male given name,NA
NA,Benjamin J.,NA,male given name,NA
NA,Joe A.,NA,male given name,NA
NA,Mary Beth,NA,female given name,NA
NA,Cláudia Alquati,NA,female given name,NA
NA,Seth J.,NA,male given name,NA
NA,Lee I.,NA,unisex given name,NA
NA,José P.,NA,male given name,NA
NA,Gary G.,NA,male given name,NA
NA,Aaron T.,NA,male given name,NA
NA,Максим А.,NA,male given name,NA
NA,Alexis H.,NA,male given name,NA
NA,Geoffrey D.,NA,male given name,NA
NA,Sherwin U.,NA,male given name,NA
NA,Robert S.,NA,male given name,NA
NA,Magnus Kuwahara,NA,male given name,NA
NA,Daniel J.,NA,male given name,NA
NA,Laura Lea,NA,female given name,NA
NA,Marco André,NA,male given name,NA
NA,Murilo Gabriel Berardo,NA,male given name,NA
NA,Richard Heinz Patrick,NA,male given name,NA
NA,Josh Aaron,NA,male given name,NA
NA,Allen F.,NA,male given name,NA
NA,Arthur Nogueira,NA,male given name,NA
NA,Hannah C.,NA,female given name,NA
NA,Robin D.,NA,unisex given name,NA
NA,Mauricio Rangel,NA,male given name,NA
NA,Manuel J.,NA,male given name,NA
NA,Mario Grande De,NA,male given name,NA
NA,Julien G.,NA,male given name,NA
NA,Manuel Hernández,NA,male given name,NA
NA,Felix Rose,NA,male given name,NA
NA,Rachel Elizabeth,NA,female given name,NA
NA,Roger S. G.,NA,male given name,NA
NA,Christopher J.,NA,male given name,NA
NA,Carl B.,NA,male given name,NA
NA,Vitor Hugo Moreira Lima,NA,male given name,NA
NA,Thalia R.,NA,female given name,NA
NA,Renata Brasil,NA,female given name,NA
NA,Todd Nicholas,NA,male given name,NA
NA,Gabriela Felix,NA,female given name,NA
NA,Erkiyor Kizi,NA,female given name,NA
NA,Christrijogo Sumartono,NA,male given name,NA
NA,Siegfrieda A.S.,NA,female given name,NA
NA,Michael J.,NA,male given name,NA
NA,Andrieli Cecatto,NA,male given name,NA
NA,Ian Frederick Vigogne,NA,male given name,NA
NA,Teófilo Otoni-MG,NA,male given name,NA
NA,Morgan James,NA,male given name,NA
NA,Elsa S.,NA,female given name,NA
NA,Elizabeth D.,NA,female given name,NA
NA,Ben S.C.,NA,male given name,NA
NA,Meir Y.,NA,male given name,NA
NA,Helle Marie,NA,female given name,NA
NA,Michael Robert,NA,male given name,NA
NA,Miguel Angel Bastarrachea,NA,male given name,NA
NA,Albert R.,NA,male given name,NA
NA,Victoria L. B.,NA,female given name,NA
NA,Louise,NA,female given name,NA
NA,Dayane Costa Oliveira,NA,female given name,NA
NA,James D.,NA,male given name,NA
NA,Benjamin J. J.,NA,male given name,NA
NA,Chris Andre,NA,male given name,NA
NA,Katherine A.,NA,female given name,NA
NA,Claude A.,NA,unisex given name,NA
NA,Davide C,NA,male given name,NA
NA,Daniel Gonzalez,NA,male given name,NA
NA,Dan J.,NA,male given name,NA
NA,Francisco Lotufo,NA,male given name,NA
NA,Taylor Skelton,NA,female given name,NA
NA,Paula,NA,female given name,NA
NA,Аркадий Викторович,NA,male given name,NA
NA,Michael S.,NA,male given name,NA
NA,Jess,NA,unisex given name,NA
NA,Valies,NA,NA,NA
NA,Mark R.,NA,male given name,NA
NA,Alivia,NA,female given name,NA
NA,Laura L.,NA,female given name,NA
NA,John D.,NA,male given name,NA
NA,Joël,NA,male given name,NA
NA,Kristina,NA,female given name,NA
NA,Ville,NA,NA,NA
NA,Stayci,NA,female given name,NA
NA,Gianluca,NA,male given name,NA
NA,Ting,NA,female given name,NA
NA,Guillermo,NA,male given name,NA
NA,Bruce E,NA,male given name,NA
NA,Kellynn,NA,female given name,NA
NA,Jenifer L.,NA,female given name,NA
NA,Ann C,NA,female given name,NA
NA,Santy Yanuar,NA,female given name,NA
NA,Katya Xinyi,NA,female given name,NA
NA,Komlev Nikita,NA,unisex given name,NA
NA,V.,NA,NA,NA
NA,Miguel Franklin,NA,male given name,NA
NA,João Ricardo Nickenig,NA,male given name,NA
NA,Liliane Maria Teixeira Lima de,NA,female given name,NA
NA,Cody,NA,unisex given name,NA
NA,Bethany,NA,female given name,NA
NA,P.,NA,NA,NA
NA,Juan Manuel,NA,male given name,NA
NA,Sebastián,NA,male given name,NA
NA,Damián,NA,male given name,NA
NA,BLANCA ESTELA LOPEZ,NA,female given name,NA
NA,Emry,NA,female given name,NA
NA,Conor,NA,male given name,NA
NA,Rob,NA,male given name,NA
NA,Neal,NA,male given name,NA
NA,Peter D.,NA,male given name,NA
NA,Thiago Marques,NA,male given name,NA
NA,Jonathan,NA,male given name,NA
NA,Laily Nur,NA,female given name,NA
NA,Joo Hou,NA,male given name,NA
NA,Luis F. T.,NA,male given name,NA
NA,Ethan,NA,male given name,NA
NA,John N.,NA,male given name,NA
NA,Yu-Hao,NA,male given name,NA
NA,Chuck,NA,male given name,NA
NA,Amanda,NA,female given name,NA
NA,Kavita,NA,female given name,NA
NA,Rhianna,NA,female given name,NA
NA,Gordon,NA,male given name,NA
NA,Florent,NA,male given name,NA
NA,Olaf,NA,male given name,NA
NA,Juan D.,NA,male given name,NA
NA,Cristo,NA,male given name,NA
NA,Eduardo Adrian,NA,male given name,NA
NA,Paula-Grațiela,NA,female given name,NA
NA,Frauke,NA,female given name,NA
NA,Emily M. N.,NA,female given name,NA
NA,Sean C.,NA,male given name,NA
NA,Michael Sangyeob,NA,male given name,NA
NA,Yvonne J.,NA,female given name,NA
NA,Norman I.,NA,male given name,NA
NA,Peter Drew,NA,male given name,NA
NA,Tracy L. M.,NA,unisex given name,NA
NA,James T.,NA,male given name,NA
NA,Neil A.,NA,male given name,NA
NA,James L.,NA,male given name,NA
NA,Lisa A.,NA,female given name,NA
NA,Gary T.,NA,male given name,NA
NA,Earl J.,NA,male given name,NA
NA,Luis H.,NA,male given name,NA
NA,Ana Alayde,NA,female given name,NA
NA,Scott Benjamin,NA,male given name,NA
NA,Ian E.,NA,male given name,NA
NA,Ronald J.,NA,male given name,NA
NA,Danilo Silva,NA,male given name,NA
NA,William K.,NA,male given name,NA
NA,F. Gregory,NA,male given name,NA
NA,Mike P.,NA,male given name,NA
NA,Nicholas David,NA,male given name,NA
NA,Rafael Ramires,NA,male given name,NA
NA,Jennifer Cole,NA,female given name,NA
NA,Daniel E.,NA,male given name,NA
NA,Whitney A. M.,NA,female given name,NA
NA,Anne M.,NA,female given name,NA
NA,Marinela Y.,NA,female given name,NA
NA,Rafael Santos,NA,male given name,NA
NA,Matthew S.,NA,male given name,NA
NA,Kimberly A.,NA,female given name,NA
NA,Katherine Nunes Pereira Oliva,NA,female given name,NA
NA,Pedro José,NA,male given name,NA
NA,Martha Dias da Cruz,NA,female given name,NA
NA,Fabio Adrian,NA,male given name,NA
NA,Daniel Luccas,NA,male given name,NA
NA,Ian S.,NA,male given name,NA
NA,Ian J.,NA,male given name,NA
NA,Bahromjon Bakhtiyor Ogli,NA,male given name,NA
NA,Yvette R.,NA,female given name,NA
NA,Turniningtyas Ayu,NA,female given name,NA
NA,Elvira Sari,NA,female given name,NA
NA,Ari Prasetya,NA,male given name,NA
NA,Hendry Ignatius,NA,male given name,NA
NA,Tadeu Rodrigues,NA,male given name,NA
NA,Peter J.,NA,male given name,NA
NA,Tiago Firmo,NA,male given name,NA
NA,Adriana Aparecida De Lima,NA,female given name,NA
NA,Raquel Rosan Christino,NA,female given name,NA
NA,Agnaldo Keiti,NA,male given name,NA
NA,Jeffrey W. H.,NA,male given name,NA
NA,Le Minh,NA,NA,NA
NA,Ariel Qianwen,NA,female given name,NA
NA,Mikkel Snorre Wilms,NA,male given name,NA
NA,Rasmus Leth,NA,male given name,NA
NA,Gary Collins Brata,NA,male given name,NA
NA,Claudia Viviana,NA,female given name,NA
NA,Geisa Muller de Campos,NA,female given name,NA
NA,Maico Roris,NA,male given name,NA
NA,José David,NA,male given name,NA
NA,Benjamin R.,NA,male given name,NA
NA,Rachmaghita Sribhuwana,NA,female given name,NA
NA,Riky Azharyandi,NA,male given name,NA
NA,Patrick O.,NA,male given name,NA
NA,Leonel V.,NA,male given name,NA
NA,Tom Van,NA,male given name,NA
NA,Melissa Shani,NA,female given name,NA
NA,Francisca Faret,NA,female given name,NA
NA,Wendy Wen,NA,female given name,NA
NA,Vincent Malik,NA,male given name,NA
NA,Germano,NA,male given name,NA
NA,Reinaldo Rodrigo,NA,male given name,NA
NA,Marcus Túlio Pereira,NA,male given name,NA
NA,Renato Villela,NA,male given name,NA
NA,Raissa Roberti,NA,female given name,NA
NA,Rodrigo Antonio Fuga,NA,male given name,NA
NA,Lucas Eiji Kong,NA,male given name,NA
NA,Arthur Vaciloto,NA,male given name,NA
NA,Maria Beatriz Baggio Z. N.,NA,female given name,NA
NA,Daniel Amorim Medeiros,NA,male given name,NA
NA,Morgana,NA,female given name,NA
NA,Lucas,NA,male given name,NA
NA,Elizabeth Kjellstrand,NA,female given name,NA
NA,Erika,NA,female given name,NA
NA,Diogo de Almeida,NA,male given name,NA
NA,Диана Антоновна,NA,female given name,NA
NA,Rogelio E.,NA,male given name,NA
NA,Angelle,NA,female given name,NA
NA,Shoshana T.,NA,female given name,NA
NA,Alysan,NA,female given name,NA
NA,Madelyn,NA,female given name,NA
NA,Alessandro,NA,male given name,NA
NA,Adriano,NA,male given name,NA
NA,Vladan,NA,male given name,NA
NA,Daniel L.,NA,male given name,NA
NA,Stanisław,NA,male given name,NA
NA,Sonder,NA,male given name,NA
NA,Mengyu,NA,unisex given name,NA
NA,SH Annabel,NA,female given name,NA
NA,Yunhan,NA,male given name,NA
NA,Chenqi,NA,female given name,NA
NA,Jianan,NA,female given name,NA
NA,Leonardo,NA,male given name,NA
NA,Carlos Arias,NA,male given name,NA
NA,Susanna,NA,female given name,NA
NA,Perttu,NA,male given name,NA
NA,Bethany L.,NA,female given name,NA
NA,Andrew C.,NA,male given name,NA
NA,Jay A.,NA,male given name,NA
NA,Sumiko T,NA,female given name,NA
NA,Jeffrey G.,NA,male given name,NA
NA,Seth I.,NA,male given name,NA
NA,Shcherbakova Milena,NA,female given name,NA
NA,Artur de Oliveira,NA,male given name,NA
NA,Windson Viana,NA,male given name,NA
NA,José Wellington Franco,NA,male given name,NA
NA,José Gilvan Rodrigues,NA,male given name,NA
NA,Victor Henrique Oyamada,NA,male given name,NA
NA,Rafael A. C. B.,NA,male given name,NA
NA,Pedro Chen,NA,male given name,NA
NA,Thaísa Malbar,NA,female given name,NA
NA,Ryo,NA,male given name,NA
NA,João Vitor Cardoso,NA,male given name,NA
NA,Lucas Murrins,NA,male given name,NA
NA,Kelly Lima,NA,female given name,NA
NA,Kelsey,NA,female given name,NA
NA,Roberto Adrián,NA,male given name,NA
NA,Annabel SH,NA,female given name,NA
NA,Orla,NA,female given name,NA
NA,Jeremy,NA,male given name,NA
NA,David E.,NA,male given name,NA
NA,Diego,NA,male given name,NA
NA,Mariel,NA,female given name,NA
NA,Kelsy C. N.,NA,female given name,NA
NA,Paulo B.,NA,male given name,NA
NA,Dartiu Xavier,NA,male given name,NA
NA,Rich,NA,male given name,NA
NA,Mahjabin,NA,female given name,NA
NA,Jonan Phillip,NA,male given name,NA
NA,Nimisingha Jacob,NA,male given name,NA
NA,Gilles,NA,male given name,NA
NA,Axelle,NA,female given name,NA
NA,R. Wade,NA,male given name,NA
NA,Biyan Aji,NA,female given name,NA
NA,Dias Andris,NA,male given name,NA
NA,Livia,NA,female given name,NA
NA,Putri Ayu Puspieta,NA,female given name,NA
NA,Louise C.,NA,female given name,NA
NA,Rimke,NA,female given name,NA
NA,Niels-Martin Ström,NA,male given name,NA
NA,Joy,NA,unisex given name,NA
NA,Rhys,NA,male given name,NA
NA,Ingela,NA,female given name,NA
NA,R. Gabrielle,NA,female given name,NA
NA,Naomi,NA,female given name,NA
NA,Lloyd,NA,male given name,NA
NA,Erica,NA,female given name,NA
NA,Hsuan-Wen,NA,female given name,NA
NA,Ju-Ling,NA,NA,NA
NA,Yueh-Chi,NA,female given name,NA
NA,Geng-De,NA,male given name,NA
NA,Janet,NA,female given name,NA
NA,M.,NA,NA,NA
NA,K.,NA,NA,NA
NA,Kavya,NA,female given name,NA
NA,Shubhangi,NA,female given name,NA
NA,Lance,NA,male given name,NA
NA,Byron,NA,male given name,NA
NA,Veruschka,NA,female given name,NA
NA,Francisco Fernando,NA,male given name,NA
NA,Miguel A.,NA,male given name,NA
NA,Edgar,NA,male given name,NA
NA,Marcos O.,NA,male given name,NA
NA,Reagan,NA,NA,NA
NA,Emily C.,NA,female given name,NA
